gene_or_protein,study_bias_score
A1X283,1
A1XBS5,3
A2A2V5,1
A2A2Y4,2
A2A3K4,4
A2A3R6,1
A2BDD9,1
A2BDE7,1
A2IDD5,1
A2RRC6,1
A2RRC9,1
A2RRD8,1
A2RRG2,1
A2RRH5,2
A2RRL7,1
A2RRL9,1
A2RRP1,3
A2RTX5,2
A2RU14,2
A2RU30,2
A2RU48,2
A2RU67,1
A2RU80,1
A2RUC4,1
A2RUH7,2
A2RUQ5,1
A2RUT3,1
A2RUU4,1
A2VCK2,3
A2VDF0,1
A4D0P7,1
A4D0Q3,1
A4D161,2
A4D1B5,1
A4D1E9,2
A4D1I3,1
A4D1P6,2
A4D1S0,1
A4D1S5,1
A4D1T9,1
A4D1W7,1
A4D2B0,1
A4D2J0,1
A4D2J9,1
A4D2P6,1
A4FTV9,1
A4FU01,1
A4FU49,1
A4FVC0,1
A4PIV7,1
A4PIV8,1
A4PIV9,1
A4PIW0,1
A4QMS7,1
A4QPB0,1
A4UGR9,1
A5D8T8,3
A5D8V6,3
A5D8V7,4
A5D8W4,2
A5D903,2
A5PKU2,1
A5PKW4,2
A5PL33,2
A5PLN9,2
A5X5Y0,2
A5YKK6,9
A5YM69,1
A5YM72,1
A6H8W8,1
A6H8Z2,2
A6NC98,1
A6NCF5,2
A6ND01,1
A6ND36,1
A6ND48,1
A6ND91,1
A6NDB9,1
A6NDG6,1
A6NDP7,1
A6NE52,1
A6NE82,1
A6NED2,2
A6NEQ0,1
A6NER0,1
A6NFR6,1
A6NFY7,2
A6NGG8,1
A6NH52,1
A6NHC0,1
A6NHJ4,1
A6NHL2,1
A6NHQ4,1
A6NHR9,1
A6NI15,1
A6NI28,1
A6NI72,1
A6NJ78,3
A6NJB7,2
A6NJL1,1
A6NK59,1
A6NK89,2
A6NKB5,1
A6NKF2,1
A6NKM8,1
A6NLU0,1
A6NLX3,1
A6NMK7,1
A6NMU8,1
A6PVS8,1
A6ZKI3,2
A7E2Y1,2
A7KAX9,6
A7MCY6,3
A7MD48,1
A8K0Y0,1
A8K0Z3,2
A8K251,1
A8K287,1
A8K2B9,1
A8K2M0,1
A8K2R3,1
A8K3C2,1
A8K3Q9,1
A8K4G0,2
A8K571,1
A8K5H9,1
A8K660,1
A8K7B7,1
A8K8P3,1
A8K8V0,3
A8K8Y5,1
A8K900,1
A8K932,1
A8K940,1
A8K979,1
A8K9C1,1
A8KA13,2
A8KA83,1
A8MQ03,1
A8MRB1,1
A8MT69,2
A8MT70,1
A8MTA8,1
A8MTQ0,1
A8MTZ0,2
A8MUH7,1
A8MUP2,1
A8MV65,1
A8MV81,1
A8MVS5,1
A8MVW5,1
A8MW92,3
A8MW95,1
A8MWD9,1
A8MXD5,1
A8MYP8,1
A8MYZ6,2
A8MZ59,1
A9QM74,1
A9UEZ6,1
A9UF07,1
A9UGY9,1
A9UHW6,3
B0B1U2,1
B0FTY2,1
B0LPE5,1
B0UZZ8,1
B0YJ76,1
B0YJ81,3
B1AHB0,1
B1AHC3,1
B1AK13,1
B1ALG1,1
B1APZ0,1
B1AQ61,1
B2R4U6,1
B2R550,1
B2R6J3,1
B2R7W0,1
B2R886,1
B2R894,1
B2R8T5,1
B2R8Y4,1
B2R9H7,1
B2R9Y1,1
B2RAB7,1
B2RB89,1
B2RC52,1
B2RC85,1
B2RDC9,1
B2RDE6,1
B2RDP1,1
B2RDU6,1
B2RNN3,1
B2RTY4,1
B2RU33,1
B2RUY7,2
B2RUZ4,1
B2RV13,1
B2RWN4,1
B2RWP4,1
B2RXF5,2
B2RXH8,1
B2Y833,1
B3KM70,1
B3KPL7,1
B3KPU6,1
B3KQG4,1
B3KSH4,1
B3KSW4,1
B3KTP4,1
B3KTQ9,1
B3KTT5,2
B3KUN1,1
B3KV54,1
B3KWQ7,1
B3KX63,1
B3SHH9,1
B4DE54,1
B4DE84,1
B4DHB6,1
B4DJ51,1
B4DLN1,1
B4DNA4,1
B4DP61,1
B4DR88,1
B4DUB1,1
B4DYC6,1
B5MC10,1
B5MC51,1
B7Z207,1
B7Z3H4,1
B7Z3K1,1
B7Z5R0,1
B7Z613,1
B7ZBD5,1
B7ZBJ6,1
B7ZLI8,2
B7ZLP7,1
B7ZLY0,1
B7ZMN2,1
B8A4K4,1
B8Q183,1
B9A025,1
B9A064,1
B9EK46,1
C0H5X0,1
C0H5X2,1
C1K0Y5,1
C3PTT6,2
C6GKH1,1
C9E8W1,1
C9J3G1,1
C9J6V4,1
C9JCN9,1
C9JE40,1
C9JG97,1
C9JJ79,2
C9JKN6,1
C9JRZ8,1
C9JYL6,1
D2IYK1,1
D2IYK5,1
D3DR40,1
D3DR86,2
D3DTR7,1
D3DTS7,1
D3DU92,1
D3DUQ6,1
D3DWK9,1
D6R9G5,1
D6RA96,1
D6RAP2,1
D6RF84,1
D6RGH6,1
D6RGY6,1
D9YZU9,1
E2PSM9,1
E3W994,1
E5KN55,1
E5KS60,1
E5RFK5,1
E5RI47,1
E7CU85,1
E7EPC3,1
E7EPJ1,1
E7EPT8,1
E7EQL6,1
E7EQS8,1
E7ERP6,1
E7ET36,1
E7ETE0,1
E7EW20,1
E9KL35,1
E9PB39,1
E9PDS3,1
E9PJI5,1
E9PJI6,1
E9PK12,1
E9PK14,1
E9PK97,1
E9PKR8,1
E9PMV2,1
E9PNY5,1
E9PPJ0,1
E9PQX1,1
E9PRZ2,1
E9PS44,1
E9PSE9,2
F1D8P7,2
F4ZW62,1
F5GWP8,1
F5GX28,1
F5GYW9,1
F5H1C8,1
F5H5M1,1
F5H7Q8,1
F6RF56,1
G2XKQ0,3
G3V162,1
G3V1X1,3
G3V2R1,1
G4U4J3,1
G4XUV3,2
G5E9A7,1
G5E9H6,1
G5E9L9,1
G5E9M4,1
G5E9N2,1
H0YDU7,1
H0YE48,1
H0YHG0,1
H0YIS7,1
H0YKB7,1
H0YKC7,1
H3BR10,1
H3BTS1,1
H3BU77,1
H3BUJ7,1
H7C1K6,1
I3L0A0,1
I3L3G9,1
I3WAC9,1
I4ENP2,2
I6L957,1
I6L9A0,1
I6L9F6,3
I7GY12,1
J3JSM9,1
J3KN16,1
J3KNH0,1
J3KPF9,1
J3KQ12,2
J3KSN0,1
J3QSH9,3
K7EJ46,1
K7EM05,1
L7RT22,1
O00115,2
O00116,2
O00124,3
O00139,3
O00141,9
O00148,3
O00151,1
O00154,2
O00155,2
O00159,1
O00160,1
O00161,5
O00165,7
O00167,4
O00168,1
O00170,8
O00175,1
O00178,1
O00180,2
O00182,2
O00186,1
O00187,5
O00189,1
O00193,2
O00194,4
O00198,1
O00203,1
O00204,3
O00206,14
O00212,3
O00213,9
O00214,6
O00219,2
O00220,5
O00221,2
O00230,1
O00231,2
O00232,2
O00233,6
O00238,2
O00241,4
O00244,3
O00253,1
O00254,1
O00255,10
O00257,7
O00264,3
O00267,7
O00268,2
O00273,2
O00291,6
O00294,2
O00295,1
O00299,4
O00303,10
O00305,5
O00308,5
O00311,3
O00322,2
O00327,7
O00329,6
O00330,4
O00338,1
O00358,2
O00399,1
O00400,2
O00401,13
O00408,1
O00409,4
O00410,1
O00411,2
O00418,2
O00421,1
O00422,4
O00423,3
O00425,1
O00429,12
O00442,2
O00443,1
O00444,13
O00445,1
O00453,1
O00459,10
O00463,8
O00468,2
O00470,5
O00471,3
O00472,2
O00479,1
O00481,3
O00482,2
O00483,2
O00487,5
O00488,3
O00499,13
O00505,5
O00506,13
O00512,2
O00519,1
O00522,5
O00526,2
O00533,1
O00534,2
O00541,3
O00555,1
O00560,11
O00562,1
O00567,2
O00570,1
O00571,10
O00584,1
O00585,6
O00590,1
O00592,4
O00602,6
O00622,1
O00623,1
O00624,1
O00626,2
O00628,3
O00629,6
O00631,1
O00634,1
O00635,3
O00712,3
O00716,5
O00743,9
O00744,1
O00746,4
O00750,5
O00755,2
O00757,4
O00762,3
O00767,1
O14490,1
O14492,3
O14493,1
O14494,3
O14495,1
O14497,7
O14498,1
O14503,9
O14508,5
O14512,2
O14513,1
O14514,3
O14519,6
O14520,1
O14521,1
O14522,6
O14523,1
O14524,1
O14525,2
O14526,2
O14530,5
O14531,2
O14543,9
O14544,5
O14545,1
O14558,1
O14559,1
O14561,2
O14569,2
O14576,6
O14579,3
O14581,1
O14593,5
O14595,6
O14599,1
O14602,1
O14607,1
O14617,1
O14618,3
O14625,4
O14628,1
O14633,1
O14639,5
O14640,8
O14641,14
O14645,5
O14646,1
O14647,3
O14653,2
O14654,2
O14656,7
O14657,1
O14662,3
O14669,2
O14672,6
O14678,2
O14681,1
O14682,2
O14686,8
O14713,6
O14717,2
O14718,1
O14727,7
O14730,5
O14732,3
O14733,6
O14734,3
O14735,4
O14737,2
O14744,15
O14745,12
O14746,9
O14753,1
O14756,1
O14757,11
O14763,4
O14764,4
O14770,7
O14773,4
O14775,3
O14776,2
O14777,13
O14782,2
O14786,8
O14787,4
O14788,4
O14791,1
O14793,1
O14796,6
O14798,3
O14802,2
O14807,2
O14810,2
O14817,3
O14818,8
O14827,1
O14829,4
O14830,1
O14832,6
O14836,8
O14841,1
O14843,1
O14862,5
O14863,2
O14867,3
O14874,4
O14879,4
O14880,3
O14893,4
O14894,1
O14896,2
O14901,3
O14904,2
O14905,1
O14907,1
O14908,5
O14910,4
O14917,1
O14920,19
O14921,1
O14924,1
O14925,3
O14926,1
O14929,5
O14931,7
O14933,5
O14936,9
O14939,3
O14944,1
O14949,1
O14950,1
O14958,1
O14964,11
O14965,21
O14966,4
O14972,1
O14974,4
O14976,4
O14977,1
O14978,2
O14979,1
O14980,5
O14990,1
O15013,2
O15015,1
O15027,3
O15031,2
O15033,1
O15034,1
O15037,2
O15040,1
O15042,2
O15047,1
O15054,2
O15055,1
O15056,3
O15060,1
O15061,2
O15062,2
O15063,1
O15066,3
O15068,1
O15072,1
O15075,2
O15078,12
O15079,1
O15084,5
O15085,5
O15105,6
O15111,16
O15116,4
O15117,6
O15118,2
O15119,2
O15120,1
O15121,2
O15123,2
O15126,3
O15127,1
O15131,1
O15143,3
O15144,1
O15145,4
O15146,4
O15151,13
O15155,4
O15156,1
O15160,4
O15162,1
O15164,5
O15165,1
O15169,25
O15173,2
O15178,1
O15182,8
O15194,2
O15195,2
O15197,5
O15198,4
O15205,2
O15209,2
O15211,3
O15217,2
O15218,1
O15226,3
O15229,1
O15231,1
O15232,4
O15234,5
O15235,1
O15243,1
O15245,1
O15247,1
O15254,1
O15255,2
O15258,1
O15259,7
O15260,2
O15263,1
O15264,5
O15265,5
O15266,2
O15269,2
O15270,1
O15273,7
O15287,8
O15294,8
O15296,2
O15297,7
O15304,3
O15305,3
O15315,7
O15318,1
O15335,1
O15342,2
O15344,5
O15347,2
O15350,11
O15353,2
O15354,4
O15355,3
O15357,6
O15360,15
O15371,4
O15372,8
O15374,1
O15375,1
O15379,24
O15381,3
O15382,1
O15389,5
O15392,13
O15393,3
O15397,3
O15399,2
O15400,7
O15403,1
O15409,6
O15427,2
O15439,1
O15442,2
O15444,2
O15446,1
O15455,3
O15457,3
O15460,3
O15466,2
O15467,2
O15479,4
O15480,1
O15481,4
O15482,2
O15484,1
O15488,2
O15496,3
O15498,2
O15503,2
O15511,4
O15514,3
O15516,3
O15519,10
O15520,2
O15524,6
O15525,5
O15527,2
O15529,1
O15530,11
O15533,3
O15534,1
O15535,1
O15537,1
O15539,1
O15541,2
O15547,1
O15550,4
O15552,1
O15553,5
O15554,4
O43143,6
O43147,1
O43148,2
O43150,2
O43151,3
O43155,1
O43156,4
O43157,5
O43159,3
O43167,5
O43169,1
O43172,5
O43173,1
O43175,1
O43181,1
O43184,4
O43186,3
O43187,6
O43189,7
O43196,2
O43236,4
O43240,2
O43242,3
O43247,3
O43251,6
O432510,2
O43252,2
O43255,1
O43257,6
O43261,1
O43264,4
O43278,2
O43280,1
O43281,2
O43283,3
O43290,3
O43291,1
O43292,4
O43293,8
O43294,2
O43295,3
O43296,2
O43298,2
O43299,1
O43300,1
O43301,1
O43303,9
O43304,1
O43307,2
O43309,3
O43312,1
O43313,2
O43315,1
O43316,1
O43318,15
O43320,2
O43323,1
O43324,2
O43325,1
O43347,1
O43353,11
O43364,1
O43374,1
O43379,4
O43390,4
O43395,8
O43399,3
O43402,2
O43422,2
O43426,4
O43427,4
O43432,2
O43435,1
O43439,8
O43447,6
O43448,2
O43451,1
O43462,1
O43463,13
O43464,6
O43474,5
O43482,5
O43488,2
O43490,2
O43491,1
O43493,4
O43502,10
O43504,6
O43505,2
O43508,4
O43513,5
O43516,10
O43520,3
O43521,15
O435212,1
O43524,15
O43526,1
O43529,1
O43541,4
O43542,11
O43543,7
O43548,1
O43557,3
O43559,3
O43561,9
O43567,1
O43581,1
O43583,4
O43586,12
O43592,1
O43593,2
O43597,7
O43598,2
O43602,5
O43603,1
O43609,3
O43610,1
O43615,4
O43617,5
O43623,1
O43633,5
O43638,2
O43639,17
O43653,1
O43657,2
O43660,6
O43663,5
O43665,2
O43670,1
O43674,1
O43678,1
O43679,2
O43680,3
O43681,3
O43683,6
O43684,7
O43687,2
O43688,2
O43699,4
O43707,8
O43708,3
O43709,2
O43711,3
O43715,2
O43716,3
O43719,3
O43731,1
O43734,3
O43736,4
O43739,2
O43741,10
O43745,1
O43747,4
O43752,8
O43759,4
O43760,2
O43763,2
O43765,5
O43768,2
O43772,1
O43781,5
O43790,2
O43791,3
O43805,6
O43808,2
O43809,8
O43812,1
O43813,2
O43815,4
O43819,1
O43820,3
O43822,3
O43823,7
O43825,1
O43826,1
O43827,1
O43829,1
O43837,1
O43852,3
O43854,1
O43865,5
O43889,11
O43896,1
O43897,1
O43900,5
O43909,2
O43913,2
O43914,4
O43915,1
O43916,1
O43918,6
O43920,2
O43921,1
O43924,5
O43927,2
O43929,5
O43930,1
O43933,2
O43934,2
O60216,8
O60218,2
O60220,4
O60224,1
O60225,3
O60229,1
O60231,2
O60232,4
O60234,1
O60235,1
O60237,1
O60238,11
O60239,4
O60240,1
O60241,2
O60242,2
O60243,1
O60244,2
O60245,1
O60248,3
O60256,2
O60258,1
O60259,4
O60260,21
O60262,1
O60264,4
O60271,3
O60282,3
O60285,6
O60287,1
O60290,1
O60291,1
O60293,2
O60294,1
O60296,1
O60303,2
O60306,2
O60307,2
O60308,1
O60312,2
O60313,3
O60315,2
O60318,2
O60331,1
O60333,7
O60336,2
O60337,2
O60341,21
O60343,3
O60344,2
O60346,5
O60353,3
O60356,3
O60359,1
O60381,3
O60383,1
O60404,1
O60412,1
O60422,1
O60427,2
O60437,5
O60443,3
O60447,2
O60449,1
O60477,1
O60478,1
O60479,1
O60481,1
O60487,1
O60488,1
O60493,4
O60496,4
O60499,2
O60500,3
O60502,3
O60504,7
O60506,12
O60507,1
O60508,1
O60512,2
O60513,1
O60516,2
O60518,1
O60519,1
O60543,2
O60547,3
O60548,1
O60551,3
O60563,8
O60565,2
O60566,13
O60568,4
O60573,4
O60575,2
O60583,1
O60602,4
O60603,9
O60610,5
O60613,2
O60635,2
O60636,3
O60637,1
O60645,3
O60656,2
O60662,3
O60663,5
O60664,4
O60667,1
O60671,4
O60674,8
O60675,1
O60678,4
O60682,1
O60683,1
O60684,2
O60687,1
O60688,1
O60701,2
O60711,2
O60716,8
O60721,1
O60725,2
O60729,3
O60732,1
O60733,1
O60739,3
O60749,2
O60759,3
O60760,2
O60762,6
O60763,1
O60779,2
O60784,4
O60809,1
O60812,1
O60825,1
O60826,7
O60828,7
O60830,3
O60831,2
O60832,5
O60840,2
O60841,2
O60844,3
O60858,3
O60861,4
O60869,3
O60880,10
O60883,1
O60884,2
O60885,9
O60888,3
O60895,1
O60896,2
O60902,1
O60906,2
O60907,3
O60909,1
O60911,1
O60921,4
O60925,3
O60927,1
O60934,13
O60936,4
O60938,2
O60939,1
O60941,7
O60942,4
O75022,3
O75023,1
O75030,2
O75031,1
O75037,2
O75044,3
O75051,2
O75052,1
O75061,1
O75063,2
O75069,2
O75074,1
O75077,1
O75078,1
O75081,3
O75083,1
O75084,5
O75093,1
O75094,1
O75095,1
O75096,2
O75106,2
O75112,1
O75116,4
O75127,1
O75128,2
O75129,1
O75131,1
O75132,3
O75140,4
O751400,1
O75143,9
O75144,2
O75145,2
O75146,3
O75147,1
O75150,5
O75152,2
O75154,5
O75155,1
O75159,2
O75161,11
O75164,3
O75167,2
O75170,4
O75173,1
O75175,7
O75177,4
O75182,2
O75185,1
O75190,7
O75192,2
O75197,2
O75208,2
O75251,2
O75293,2
O75298,1
O75306,1
O75311,1
O75317,2
O75319,1
O75323,2
O75324,1
O75325,1
O75326,2
O75330,3
O75335,1
O75340,8
O75342,1
O75344,6
O75346,1
O75348,3
O75351,4
O75352,2
O75355,2
O75360,2
O75363,1
O75365,3
O75366,1
O75367,6
O75368,1
O75369,4
O75376,10
O75379,6
O75380,3
O75381,6
O75382,1
O75385,14
O75386,6
O75387,1
O75396,6
O75398,3
O75400,9
O75409,2
O75410,5
O75417,1
O75419,4
O75425,1
O75426,2
O75427,5
O75431,4
O75436,4
O75437,1
O75439,1
O75444,1
O75445,2
O75446,3
O75448,1
O75449,3
O75459,2
O75460,8
O75461,10
O75462,3
O75469,1
O75475,2
O75477,2
O75478,6
O75487,2
O75489,7
O75494,1
O75496,6
O75503,1
O75506,3
O75508,1
O75509,5
O75521,2
O75525,3
O75528,7
O75529,3
O75530,10
O75531,3
O75533,4
O75534,5
O75541,1
O75553,3
O75554,4
O75558,7
O75563,1
O75564,2
O75569,10
O75575,2
O75581,17
O75582,7
O75586,2
O75592,1
O75593,4
O75594,1
O75596,1
O75600,1
O75603,4
O75604,4
O75607,3
O75608,1
O75610,1
O75616,3
O75618,5
O75626,5
O75631,2
O75636,5
O75638,2
O75643,4
O75663,4
O75665,8
O75674,2
O75676,2
O75678,1
O75679,3
O75688,5
O75689,2
O75691,1
O75694,2
O75695,3
O75711,2
O75716,8
O75717,1
O75746,1
O75751,1
O75752,1
O75771,14
O75781,1
O75783,2
O75787,3
O75791,15
O75792,1
O75800,4
O75807,3
O75808,1
O75815,5
O75817,4
O75818,1
O75821,6
O75822,3
O75828,4
O75829,1
O75830,4
O75832,6
O75841,1
O75843,2
O75864,1
O75865,3
O75874,3
O75880,2
O75881,1
O75884,1
O75886,4
O75888,1
O75891,2
O75896,3
O75899,2
O75901,1
O75909,4
O75914,2
O75915,1
O75916,2
O75920,2
O75923,1
O75925,2
O75928,6
O75934,5
O75935,1
O75936,3
O75940,3
O75943,4
O75952,1
O75953,1
O75955,2
O75956,2
O75962,2
O75969,1
O75970,5
O75971,2
O75973,1
O75976,1
O76003,6
O76011,1
O76013,1
O76014,1
O76015,2
O76024,4
O76027,2
O76036,4
O76038,2
O76039,6
O76041,5
O76061,1
O76062,1
O76064,11
O76070,1
O76071,6
O76074,1
O76075,5
O76076,2
O76080,4
O76081,3
O76082,2
O76083,5
O76090,1
O76094,1
O76095,1
O76096,2
O76099,1
O77932,3
O94761,1
O94762,3
O94763,4
O94766,1
O94768,3
O94772,1
O94776,8
O94777,1
O94779,2
O94782,3
O94805,1
O94806,4
O94808,1
O94810,1
O94811,2
O94817,4
O94818,3
O94822,2
O94823,2
O94826,1
O94827,2
O94829,3
O94830,1
O94832,1
O94842,2
O94844,2
O94850,1
O94855,3
O94856,2
O94864,1
O94868,5
O94874,1
O94875,3
O948750,1
O94880,2
O94885,2
O94886,1
O94887,2
O94888,3
O94889,3
O94892,1
O94898,2
O94901,3
O94905,3
O94906,6
O94907,4
O94915,1
O94916,3
O94919,1
O94921,7
O94927,1
O94929,2
O94941,3
O94953,2
O94955,3
O94964,1
O94966,2
O94967,2
O94972,1
O94973,1
O94979,4
O94983,3
O94985,3
O94986,5
O94988,3
O94989,2
O94992,8
O95007,1
O95045,4
O95049,1
O95050,3
O95057,1
O95059,4
O95067,2
O95070,2
O95071,2
O95072,2
O95073,3
O95076,1
O95081,1
O95084,3
O95125,4
O95136,2
O95139,1
O95140,5
O95147,5
O95149,5
O95150,1
O95154,3
O95155,1
O95156,1
O95157,2
O95159,2
O95163,5
O95164,1
O95166,15
O95167,1
O95169,1
O95171,7
O95180,1
O95182,2
O95183,3
O95185,2
O95190,2
O95196,1
O95197,4
O95198,2
O95199,4
O95201,2
O95202,2
O95210,2
O95214,1
O95218,4
O95219,5
O95221,1
O95229,7
O95231,4
O95232,1
O95235,2
O95236,1
O95237,2
O95238,1
O95239,1
O95243,5
O95248,1
O95249,1
O95251,4
O95256,1
O95257,6
O95259,2
O95260,1
O95271,6
O95273,5
O95274,1
O95278,3
O95292,8
O95295,6
O95297,3
O95299,1
O95302,1
O95319,1
O95336,1
O95340,2
O95342,1
O95347,3
O95352,4
O95361,3
O95363,3
O95365,2
O95372,2
O95376,7
O95379,4
O95382,3
O95388,2
O95389,1
O95390,1
O95391,4
O95393,1
O95395,1
O95396,2
O95398,2
O95400,8
O95402,3
O95405,5
O95406,1
O95407,2
O95411,1
O95415,2
O95416,1
O95424,2
O95425,1
O95428,1
O95429,4
O95433,3
O95436,1
O95445,1
O95447,2
O95452,1
O95453,3
O95455,2
O95456,2
O95460,2
O95461,1
O95466,4
O95470,2
O95471,2
O95476,2
O95477,6
O95478,1
O95484,1
O95486,1
O95487,1
O95498,1
O95500,1
O95503,6
O95544,1
O95551,1
O95561,2
O95562,1
O95563,2
O95567,1
O95571,2
O95600,2
O95602,6
O95613,3
O95619,3
O95620,1
O95630,9
O95631,1
O95633,1
O95639,4
O95644,5
O95661,3
O95670,2
O95671,2
O95674,1
O95677,1
O95678,1
O95684,6
O95685,2
O95696,5
O95704,4
O95707,2
O95711,3
O95714,2
O95715,3
O95716,2
O95718,1
O95721,7
O95741,3
O95747,7
O95749,3
O95751,2
O95754,1
O95755,1
O95758,1
O95759,1
O95760,3
O95772,2
O95777,2
O95785,1
O95786,21
O95793,7
O95801,4
O95807,1
O95810,2
O95813,1
O95816,9
O95817,10
O95819,3
O95822,1
O95831,7
O95832,2
O95833,2
O95834,1
O95835,11
O95837,1
O95848,3
O95858,3
O95859,2
O95861,1
O95863,16
O95864,1
O95865,4
O95868,1
O95870,5
O95872,5
O95881,3
O95886,2
O95897,3
O95900,2
O95905,5
O95922,2
O95925,1
O95926,2
O95931,9
O95935,1
O95944,4
O95947,3
O95954,2
O95967,7
O95968,2
O95969,1
O95971,3
O95972,1
O95976,1
O95977,2
O95980,2
O95983,5
O95985,5
O95988,2
O95989,3
O95990,6
O95994,6
O95995,2
O95996,2
O95997,3
O95999,19
O96000,3
O96004,1
O96006,3
O96008,2
O96009,1
O96011,2
O96013,8
O96014,3
O96015,3
O96017,14
O96018,5
O96019,2
O96020,3
O96024,1
O96028,3
P00167,2
P00326,1
P00338,2
P00352,1
P00387,2
P00390,1
P00395,1
P00403,1
P00441,6
P00450,1
P00451,2
P00480,1
P00488,1
P00491,2
P00492,4
P00505,1
P00519,42
P00533,80
P00540,10
P00558,4
P00568,2
P00736,1
P00738,2
P00740,1
P00742,3
P00747,4
P00748,2
P00749,2
P00751,3
P00813,1
